Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year1,shabby,euro_r
Mercedes,Rare,2007,SUV,230000.0,2999.0,Diesel,Automatic,19500.0,15,q3,15333.0,34500.0,26382.352941176472
Hyundai,Rare,2013,Hatchback,122000.0,1385.0,Petrol,Manual,4800.0,9,q2,13556.0,10980.0,2066.823529411765
Skoda,Octavia,2007,Hatchback,335165.0,1986.0,Diesel,Automatic,6750.0,15,q4,22344.0,50274.75,13308.02205882353
Renault,Grand Scenic,2017,Minivan,175000.0,1462.0,Diesel,Automatic,16000.0,5,q4,35000.0,8750.0,5490.196078431372
Mercedes,Vito,2010,Minivan,220000.0,2200.0,Diesel,Manual,7500.0,12,q3,18333.0,26400.0,7764.705882352941
Audi,A6,2009,Universal,148000.0,2995.0,Petrol,Automatic,13000.0,13,q2,11385.0,19240.0,9808.627450980392
Dacia,Logan,2011,Sedan,230000.0,1200.0,Metan/Propan,Manual,2800.0,11,q4,20909.0,25300.0,2778.0392156862745
Toyota,Urban Cruiser,2011,Sedan,192000.0,1400.0,Diesel,Manual,6800.0,11,q3,17455.0,21120.0,5632.0
Volkswagen,Rare,2005,Sedan,257000.0,3000.0,Diesel,Automatic,9000.0,17,q3,15118.0,43690.0,15420.0
Toyota,Rare,2007,Hatchback,72000.0,1000.0,Petrol,Automatic,4400.0,15,q1,4800.0,10800.0,1863.5294117647059
Renault,Scenic,2012,Microvan,240000.0,1500.0,Diesel,Manual,6800.0,10,q4,24000.0,24000.0,6400.0
Toyota,Land Cruiser Prado,2006,SUV,205000.0,2700.0,Metan/Propan,Automatic,14800.0,16,q2,12812.0,32800.0,19036.86274509804
Skoda,Superb,2017,Sedan,176000.0,2000.0,Diesel,Automatic,19450.0,5,q4,35200.0,8800.0,6712.156862745098
Opel,Corsa,2006,Hatchback,164274.0,1300.0,Diesel,Manual,2999.0,16,q1,10267.0,26283.84,3091.185731764706
Volkswagen,Tiguan,2008,SUV,179000.0,1400.0,Petrol,Manual,7200.0,14,q2,12786.0,25060.0,7075.764705882353
Skoda,Fabia,2002,Hatchback,230000.0,1400.0,Petrol,Manual,950.0,20,q2,11500.0,46000.0,1713.7254901960785
BMW,7 Series,2016,Sedan,125000.0,2993.0,Diesel,Automatic,52500.0,6,q4,20833.0,7500.0,15441.176470588236
Rover,Rare,2001,Sedan,278000.0,2000.0,Diesel,Manual,2650.0,21,q2,13238.0,58380.0,6066.941176470588
Fiat,Rare,2004,Universal,200000.0,1600.0,Metan/Propan,Manual,3000.0,18,q2,11111.0,36000.0,4235.294117647059
Dacia,Duster,2011,Crossover,202176.0,1500.0,Diesel,Manual,6900.0,11,q3,18380.0,22239.36,6017.709176470588
