Year,Distance,Engine_capacity(cm3),Price(euro),Age,km_year1,shabby,euro_r,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,km_year_q1,km_year_q2,km_year_q3,km_year_q4
2010,202000.0,2400.0,14750.0,12,16833.0,24240.0,14021.176470588236,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2013,209000.0,1500.0,5750.0,9,23222.0,18810.0,4241.470588235294,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2010,145000.0,1400.0,4750.0,12,12083.0,17400.0,3241.176470588235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2012,194000.0,1800.0,9999.0,10,19400.0,19400.0,7607.082352941176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2008,249000.0,2400.0,11500.0,14,17786.0,34860.0,15721.176470588236,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2008,142000.0,1100.0,3499.0,14,10143.0,19880.0,2727.847843137255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2005,260000.0,1500.0,4750.0,17,15294.0,44200.0,8233.333333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2002,240000.0,2300.0,3499.0,20,12000.0,48000.0,6586.35294117647,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2012,120000.0,2200.0,15999.0,10,12000.0,12000.0,7528.941176470588,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2010,182000.0,1800.0,11750.0,12,15167.0,21840.0,10063.529411764706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
2005,300000.0,2000.0,4999.0,17,17647.0,51000.0,9998.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
2008,310000.0,1300.0,4850.0,14,22143.0,43400.0,8254.509803921568,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
2014,186000.0,1600.0,12300.0,8,23250.0,14880.0,7177.411764705882,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2011,150000.0,2000.0,12800.0,11,13636.0,16500.0,8282.35294117647,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2000,258000.0,2200.0,2999.0,22,11727.0,56760.0,6675.421176470588,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2016,151000.0,1500.0,13890.0,6,25167.0,9060.0,4935.035294117647,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2018,46000.0,2000.0,27650.0,4,11500.0,1840.0,1995.137254901961,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2010,257110.0,1500.0,4999.0,12,21426.0,30853.2,6048.437129411765,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
2016,167000.0,1500.0,12990.0,6,27833.0,10020.0,5104.305882352941,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
2018,114000.0,1800.0,16750.0,4,28500.0,4560.0,2995.294117647059,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2017,157600.0,1500.0,11990.0,5,31520.0,7880.0,3705.1450980392156,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2014,190000.0,1800.0,8990.0,8,23750.0,15200.0,5358.745098039216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
2017,119000.0,1800.0,18790.0,5,23800.0,5950.0,4384.333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2018,145000.0,1500.0,16790.0,4,36250.0,5800.0,3818.901960784314,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2016,150200.0,1500.0,13450.0,6,25033.0,9012.0,4753.388235294117,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2015,149000.0,2500.0,21750.0,7,21286.0,10430.0,8896.176470588236,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2006,216000.0,2000.0,5350.0,16,13500.0,34560.0,7250.823529411765,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2016,88000.0,1500.0,15790.0,6,14667.0,5280.0,3269.458823529412,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2007,320000.0,1600.0,5999.0,15,21333.0,48000.0,11292.235294117647,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2006,298000.0,1500.0,2999.0,16,18625.0,47680.0,5607.541960784314,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2017,27138.0,1500.0,13300.0,5,5428.0,1356.9,707.7164705882353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2016,140000.0,1500.0,12400.0,6,23333.0,8400.0,4084.705882352941,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2012,166000.0,1600.0,8990.0,10,16600.0,16600.0,5852.313725490196,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2009,223000.0,2000.0,8990.0,13,17154.0,28990.0,10220.396078431373,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2006,198563.0,1400.0,5350.0,16,12410.0,31770.08,6665.48737254902,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
2000,202698.0,2800.0,3999.0,22,9214.0,44593.56,6993.319468235294,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
2000,230000.0,2000.0,2750.0,22,10455.0,50600.0,5456.862745098039,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2018,82000.0,2000.0,34000.0,4,20500.0,3280.0,4373.333333333333,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1995,250369.0,1800.0,2700.0,27,9273.0,67599.63,7157.6078823529415,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
2005,250632.0,2000.0,2690.0,17,14743.0,42607.44,4494.667200000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1998,300000.0,1900.0,1450.0,24,12500.0,72000.0,4094.1176470588234,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2012,165500.0,1200.0,5100.0,10,16550.0,16550.0,3310.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2011,248000.0,2000.0,9900.0,11,22545.0,27280.0,10591.058823529413,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2016,170000.0,1499.0,8890.0,6,28333.0,10200.0,3556.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
2008,245000.0,1500.0,3600.0,14,17500.0,34300.0,4842.35294117647,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
1999,290000.0,1500.0,1800.0,23,12609.0,66700.0,4708.235294117647,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2014,120000.0,200.0,12000.0,8,15000.0,9600.0,4517.64705882353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2007,211000.0,1400.0,2900.0,15,14067.0,31650.0,3599.4117647058824,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
2012,166700.0,2000.0,10200.0,10,16670.0,16670.0,6668.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
2016,145000.0,1400.0,16450.0,6,24167.0,8700.0,5612.35294117647,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2014,81700.0,1800.0,12450.0,8,10212.0,6536.0,3191.105882352941,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
2013,142865.0,1400.0,8700.0,9,15874.0,12857.85,4386.795882352942,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
2007,135865.0,1400.0,1500.0,15,9058.0,20379.75,1198.8088235294117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
2013,181000.0,1500.0,7000.0,9,20111.0,16290.0,4471.764705882353,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2014,155000.0,1400.0,9700.0,8,19375.0,12400.0,4716.862745098039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2015,164000.0,1600.0,12750.0,7,23429.0,11480.0,5740.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2010,150589.0,1400.0,7999.0,12,12549.0,18070.68,5668.524287058824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2015,152523.0,1500.0,9300.0,7,21789.0,10676.61,3893.8224705882353,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
2007,190000.0,1300.0,4499.0,15,12667.0,28500.0,5028.294117647059,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
2014,165000.0,2000.0,15600.0,8,20625.0,13200.0,8075.294117647059,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
2006,260000.0,3000.0,11000.0,16,16250.0,41600.0,17945.098039215685,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2011,182251.0,1798.0,8200.0,11,16568.0,20047.61,6446.682431372549,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2008,185000.0,1300.0,3600.0,14,13214.0,25900.0,3656.470588235294,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
